japanese,reading,chinese
起きる,おきる,起床
食べる,たべる,吃
飲む,のむ,喝
書く,かく,寫
読む,よむ,讀、看（書）
聞く,きく,聽
見る,みる,看
買う,かう,買
作る,つくる,製作
寝る,ねる,睡覺
する,する,做
毎朝,まいあさ,每天早上
毎晩,まいばん,每天晚上
毎日,まいにち,每天
毎週,まいしゅう,每週
朝ご飯,あさごはん,早餐
昼ご飯,ひるごはん,午餐
晩ご飯,ばんごはん,晚餐
スポーツ,すぽーつ,運動
バドミントン,ばどみんとん,羽毛球
テニス,てにす,網球
ピンポン,ぴんぽん,乒乓球
授業,じゅぎょう,課堂
試験,しけん,考試
仕事,しごと,工作
アルバイト,あるばいと,兼職、打工
映画,えいが,電影
音楽,おんがく,音樂
ニュース,にゅーす,新聞
レポート,れぽーと,報告
勉強,べんきょう,學習、念書
月曜日,げつようび,星期一
火曜日,かようび,星期二
水曜日,すいようび,星期三
木曜日,もくようび,星期四
金曜日,きんようび,星期五
土曜日,どようび,星期六
日曜日,にちようび,星期日
肉,にく,肉
魚,さかな,魚
野菜,やさい,蔬菜
果物,くだもの,水果
卵,たまご,雞蛋
水,みず,水
ビール,びーる,啤酒
週末,しゅうまつ,週末
時間,じかん,時間
友達,ともだち,朋友
